hashtag,CreationTimeofDay,MinRank,Duration2hsl
杭州女子失踪事件成立专案组,2021-10-13 12:23:00,6,3.3595791308333336
巢湖超历史最高水位,2021-10-13 15:04:00,38,0.6762458408333334
复工首日国内预售票房破10万,2021-10-13 13:03:00,24,2.6929125841666663
老人抱团养老15年后捐楼,2021-10-13 08:57:00,7,6.792912695555556
长江中下游干流全线超警已持续13天,2021-10-13 15:07:00,39,0.7944674872222223
西安认可驾驶员电子证照,2021-10-13 07:36:00,8,8.5629881375
北京应急响应级别降至三级,2021-10-13 12:00:00,13,4.499229453055555
复读鸭唱歌都比我好听,2021-10-13 12:32:00,23,4.0499237402777775
小哥设计剪发机器人为自己剪发,2021-10-13 09:16:00,19,199.56866720055555
要做好秋冬可能出现疫情的应对准备,2021-10-13 16:47:00,10,0.473757325
教小奶猫如何上厕所,2021-10-13 00:16:00,19,17.495078258611112
陕西成功修复2800年前的青铜豪车,2021-10-13 16:38:00,10,1.2125564077777777
大学生毕业群像,2021-10-13 16:00:00,30,2.098637303333333
姚明主持CBA公司日常工作,2021-10-13 02:31:00,14,15.5819706775
南京八卦洲首批人员撤离,2021-10-13 15:34:00,24,2.615884700277778
南京城区出现内涝,2021-10-13 14:55:00,15,3.350477965833333
三浦春马生前日记内容,2021-10-13 13:34:00,3,4.784377850833334
换车忘通知狗子主人回应,2021-10-13 22:56:00,23,19.66993663472222
解放军洪水中抢收水稻,2021-10-13 13:26:00,30,5.4219881800000005
乌鲁木齐完成现有隔离人员核酸检测,2021-10-13 18:25:00,22,0.43865493
美军机一周三次抵近广东沿海,2021-10-13 09:30:00,14,9.944899967777777
VG Cube,2021-10-13 18:14:00,23,1.3799223130555556
重庆历史首个洪水红色预警如何发出,2021-10-13 18:21:00,13,25.347335365
许可馨,2021-10-13 20:25:00,16,2687.3647792327774
安徽三河古镇居民凌晨紧急撤离,2021-10-13 16:52:00,35,3.1670979166666666
JDG FPX,2021-10-13 11:59:00,37,1424.63926497
香港特区收紧多项防疫措施,2021-10-13 16:55:00,24,4.127659118611111
王源反应能力,2021-10-13 07:30:00,6,-0.1129074136111111
全国影院复工首日票房破百万,2021-10-13 12:12:00,3,19.27100192361111
河南群众自发为抗洪消防员撑伞,2021-10-13 21:19:00,12,34.49040412055556
长江第2号洪水平稳通过三峡大坝,2021-10-13 10:48:00,25,765.5953651502778
上海电影节抢票,2021-10-13 12:00:00,23,71060.47947053806
男子坐木板长江漂流惬意喝茶,2021-10-13 19:02:00,23,37.69840779555555
我的青春疼痛,2021-10-13 23:01:00,20,9.715074506666667
驻新加坡使馆提醒中国公民防范登革热,2021-10-13 07:15:00,13,1.5657281608333333
时代少年团奖品是教辅书,2021-10-13 18:44:00,13,38.166474708888884
美国新冠感染病例超376万,2021-10-13 06:50:00,7,2.1503126608333334
被顶替上大学陈春秀再次发声求助,2021-10-13 09:56:00,7,-0.3610776347222222
安徽淮河干流王家坝闸开闸泄洪,2021-10-13 08:37:00,31,1.039577751111111
抗洪前线兵哥哥怎么洗澡,2021-10-13 13:15:00,23,20.4062444775
赖宝,2021-10-13 09:10:00,4,80209.24607332416
复工前的电影院,2021-10-13 16:43:00,24,17.948268060277776
侃爷首场竞选集会现场崩溃大哭,2021-10-13 10:42:00,10,0.04919087055555555
迪丽热巴花箭封面,2021-10-13 10:11:00,21,3240.565857595833
抗洪战士倒裤腿泥水像打开水龙头,2021-10-13 17:51:00,37,17.06735720916667
英国上空现巨型飞蚁群,2021-10-13 05:41:00,20,5.318699055277778
68岁老人人肉封堵堤坝漏水口,2021-10-13 09:03:00,18,1.9520324427777778
新疆喀什地区新增1例确诊,2021-10-13 20:07:00,12,15.38985127527778
任嘉伦墨意书法封面,2021-10-13 10:38:00,30,0.9584623827777778
丁禹兮复古慵懒夹克,2021-10-13 00:00:00,25,12.0125112
被救援小女孩救生艇上不忘读书,2021-10-13 21:01:00,23,15.332772052777777
美国首都华盛顿发生枪击案致1死8伤,2021-10-13 11:21:00,34,1.1677279836111112
丁当 风云榜主持人,2021-10-13 00:04:00,4,12.451061338055556
中国人寿,2021-10-13 14:59:00,17,38109.95562020222
上海电影节取消红毯,2021-10-13 08:50:00,20,4.4418713005555555
术后刚3天的援鄂护士跪地救人,2021-10-13 10:59:00,22,2.7965603072222223
司雯嘉,2021-10-13 10:11:00,16,33171.68061541972
卡姆容留他人吸毒案今日开庭,2021-10-13 08:04:00,9,6.1334664241666665
三十而已女性角色,2021-10-13 10:00:00,26,4.20013315
18岁高考生被评见义勇为,2021-10-13 17:24:00,18,116.96895311277778
初中生沉迷游戏民警硬核开导,2021-10-13 12:43:00,25,1.652286593611111
梅姨案两被拐少年认亲,2021-10-13 11:26:00,19,3.2724736761111113
宠物鼻纹识别技术国内首次应用,2021-10-13 10:03:00,32,4.8241329211111115
大学生铁轨上摆拍逼停火车被处罚,2021-10-13 10:44:00,16,28.224975138055555
日本淡蓝色青蛙,2021-10-13 18:43:00,17,21.083825520555553
卡姆获刑8个月罚款两千,2021-10-13 15:06:00,22,1.037078005
加拿大观光巴士翻覆事故已致3死,2021-10-13 15:57:00,32,0.2709585411111111
援鄂护士返沪后在书里看武大樱花,2021-10-13 14:00:00,33,2.3050638205555556
乐视退明日将被正式摘牌,2021-10-13 15:05:00,16,1.6423980169444445
北京小区不再要求体温检测,2021-10-13 16:14:00,7,0.660677526388889
教育部要求加强中小学生竞赛管理,2021-10-13 16:40:00,8,0.39570633972222224
景区辟谣邢台大峡谷5瓶饮料卖150元,2021-10-13 00:12:00,26,16.94662893638889
马尚,2021-10-13 21:57:00,28,73867.196629035
香港新增73例新冠确诊病例,2021-10-13 17:18:00,10,0.5193186816666667
3D打印鸡肉,2021-10-13 17:11:00,20,144.71994539138888
流心糯米煎糖饼,2021-10-13 15:31:00,27,2.4705967019444444
